Date,Open,High,Low,Close,Adj Close,Volume
2017-12-28,209.119995,209.979996,208.100006,209.240005,205.229095,666700
2017-12-29,209.729996,210.550003,208.630005,209,204.993683,620100
2018-01-02,210.050003,210.169998,205.580002,206.320007,202.365082,812300
2018-01-03,206.350006,207.660004,205.740005,206.770004,202.806442,580000
2018-01-04,205.899994,207.009995,202.570007,203.110001,199.216599,799600
2018-01-05,203.330002,204.039993,201.710007,201.919998,198.049408,644600
2018-01-08,202.089996,204.149994,201.940002,203.529999,199.628555,768600
2018-01-09,204.070007,204.199997,200.910004,201.149994,197.294174,659300
2018-01-10,199.669998,200.070007,195.300003,196.110001,192.350784,1133200
2018-01-11,196.800003,197.369995,195.009995,196.119995,192.36058,1093600
2018-01-12,196.020004,196.5,193.399994,193.550003,189.839859,957400
2018-01-16,194.199997,198.429993,193.520004,193.75,190.036026,1034200
2018-01-17,194.800003,197.020004,194.440002,195.690002,191.938828,736600
2018-01-18,195.119995,195.679993,192.600006,193.25,189.545593,1241000
2018-01-19,193.910004,194.5,192.699997,193.559998,189.849655,646100
2018-01-22,194.139999,194.619995,192.509995,193.779999,190.065445,909600
2018-01-23,194,198.550003,193.559998,198.089996,194.292816,982000
2018-01-24,197.820007,198.009995,194.309998,194.919998,191.183594,687000
2018-01-25,194,194.779999,190.820007,192.570007,188.878647,855500
2018-01-26,193.270004,193.679993,190.699997,192.850006,189.153275,1083200
2018-01-29,192.5,192.929993,190.149994,192.539993,188.849213,1121900
2018-01-30,192.539993,194.289993,190.259995,193.600006,189.888885,1535500
2018-01-31,193.490005,195.759995,191.880005,195.759995,192.007492,2749400
2018-02-01,196.100006,196.580002,190.710007,190.979996,187.319122,1125600
2018-02-02,190.100006,191.949997,188.389999,190.309998,186.661957,974000
2018-02-05,189.470001,191.729996,183.270004,184.979996,181.434128,1088800
2018-02-06,182.979996,187.089996,180.929993,185.399994,181.846069,1566400
2018-02-07,184.649994,188.619995,183.759995,185.350006,181.797043,1021700
2018-02-08,185.350006,185.949997,180.479996,180.490005,177.030197,1213700
2018-02-09,181.75,188.699997,180.710007,187.160004,183.572342,2002100
2018-02-12,187.630005,188.570007,182.929993,187.820007,184.219681,1405600
2018-02-13,187.949997,190.279999,187.5,189.199997,185.573242,1054500
2018-02-14,187.809998,188.149994,184.690002,186.779999,183.199631,963800
2018-02-15,187.520004,191.350006,187,190.479996,186.82869,931900
2018-02-16,189.979996,190.960007,187.020004,188.75,185.131866,1112600
2018-02-20,187.630005,190.25,185.910004,186.309998,182.738632,1377200
2018-02-21,186.970001,194.220001,185.770004,190.75,187.093521,2526900
2018-02-22,191.630005,194.369995,190.770004,193.139999,189.437714,1466500
2018-02-23,193.330002,195.740005,192.839996,195.679993,191.929016,778200
2018-02-26,196.050003,197.410004,193.309998,195.880005,192.125198,879900
2018-02-27,196.539993,197.740005,192.520004,192.919998,189.221924,979400
2018-02-28,193.820007,196.679993,193.119995,194.440002,190.712784,1152600
2018-03-01,194.240005,198.490005,193.080002,196.110001,192.350784,1195900
2018-03-02,196.179993,197.610001,192.830002,195,191.262054,950600
2018-03-05,195.089996,199,195.089996,197.350006,193.567017,1146900
2018-03-06,196.800003,199.080002,195.419998,198.160004,194.361496,711800
2018-03-07,197.330002,198.910004,196.399994,198.009995,194.21434,583900
2018-03-08,198.139999,200.490005,197.130005,199.809998,195.979843,756600
2018-03-09,200.080002,200.399994,197.669998,199.960007,196.126999,884100
2018-03-12,199.960007,200.410004,198.559998,199.410004,195.587524,1004300
2018-03-13,198,199,196.759995,197.399994,195.577606,1022200
2018-03-14,197.880005,198.479996,193,194.610001,192.81337,1903300
2018-03-15,194.779999,195.369995,193.720001,195.169998,193.36821,675900
2018-03-16,195.520004,198.199997,195.270004,198.009995,196.181976,1136300
2018-03-19,198.039993,198.080002,195.550003,196.720001,194.9039,840200
2018-03-20,196.899994,198.649994,196.520004,198.029999,196.201797,886800
2018-03-21,198.25,199.600006,196.149994,198.520004,196.687286,1108300
2018-03-22,198.320007,199.899994,195.610001,195.690002,193.883408,1045900
2018-03-23,195.710007,197.289993,192.660004,193.050003,191.267776,850400
2018-03-26,194.279999,196.940002,193.520004,196.610001,194.794907,703800
2018-03-27,197,199.830002,194.259995,198.100006,196.271164,921700
2018-03-28,198.660004,203.820007,198.020004,202.119995,200.254044,1249500
2018-03-29,202.089996,202.899994,199.259995,200.389999,198.540009,986800
2018-04-02,201.050003,201.889999,198.020004,199.410004,197.569061,762700
2018-04-03,199.419998,201.669998,197.279999,200.619995,198.767883,694600
2018-04-04,200.350006,204.75,199.690002,204.039993,202.156311,896200
2018-04-05,203.589996,203.589996,199.380005,201.360001,199.501053,863300
2018-04-06,201.600006,202.839996,198.809998,199.279999,197.440262,724200
2018-04-09,199.600006,201.600006,198.789993,199.820007,197.975281,806500
2018-04-10,199.949997,202.199997,199.669998,200.449997,198.599457,701500
2018-04-11,199.899994,201.570007,198.5,198.679993,196.845795,581900
2018-04-12,198.690002,198.869995,195.389999,196.309998,194.497681,718200
2018-04-13,196.740005,197.330002,195.389999,197.279999,195.458725,654700
2018-04-16,198.25,198.800003,196.350006,197.089996,195.270477,755600
2018-04-17,198,199.570007,196.860001,198.570007,196.736816,778300
2018-04-18,199.169998,199.380005,197.600006,197.919998,196.092819,596400
2018-04-19,197.360001,197.5,192.259995,193.789993,192.000946,734500
2018-04-20,194.429993,194.789993,192.210007,192.75,190.970551,970000
2018-04-23,193.339996,193.410004,192.020004,192.889999,191.109253,786500
2018-04-24,192.429993,194.529999,192.050003,193.759995,191.971222,998400
2018-04-25,193.389999,195.110001,192.190002,193.710007,191.921692,748600
2018-04-26,196.5,203.119995,195.660004,199.820007,197.975281,1829300
2018-04-27,199.25,203.240005,198.380005,202.449997,200.580994,748000
2018-04-30,203.350006,203.979996,201.570007,201.779999,199.917175,896500
2018-05-01,201.839996,205.649994,200.679993,204.5,202.612076,1253200
2018-05-02,203.270004,206,201.110001,204.690002,202.800323,858500
2018-05-03,205.179993,207.25,203.899994,205.910004,204.009064,1156500
2018-05-04,205.580002,208.070007,205.080002,207.389999,205.475388,495100
2018-05-07,207.339996,210.240005,206.089996,209.979996,208.041473,851000
2018-05-08,210,210.839996,209.169998,210.029999,208.091019,1118000
2018-05-09,210.479996,211.580002,209.199997,211.539993,209.587067,549800
2018-05-10,212.389999,213.919998,211.5,211.850006,209.894226,653900
2018-05-11,212.679993,213.149994,211.270004,211.600006,209.64653,698200
2018-05-14,211.470001,212.690002,208.009995,209.440002,207.50647,658700
2018-05-15,207.800003,208.860001,205.309998,205.910004,204.009064,957300
2018-05-16,206.960007,207.470001,204.740005,205.600006,203.70192,598800
2018-05-17,204.619995,205.600006,203.309998,203.839996,201.95816,597700
2018-05-18,204.100006,205.020004,201.839996,203.589996,201.710464,784100
2018-05-21,204.100006,205.869995,202.380005,204.899994,203.008377,563200
2018-05-22,204.75,205.259995,203.380005,204.110001,202.225677,616100
2018-05-23,204.869995,207.809998,204.800003,206.669998,204.762039,570100
2018-05-24,206.940002,207.789993,205.970001,207.139999,205.227692,538000
2018-05-25,208.119995,209.320007,207.240005,208.490005,206.565247,439700
2018-05-29,208.470001,209.940002,207.460007,209.850006,207.912689,864200
2018-05-30,209.619995,212.869995,209.070007,212.229996,210.270706,506800
2018-05-31,211.009995,212.679993,209.860001,211.839996,209.884308,1553200
2018-06-01,211.949997,212.110001,210,211.619995,209.666336,559800
2018-06-04,212.5,214.050003,211.330002,214.050003,212.073914,559700
2018-06-05,214.309998,215.399994,212.720001,212.880005,210.914719,810700
2018-06-06,212.559998,214.550003,212.029999,213.600006,211.628067,695700
2018-06-07,214.210007,215.539993,213.100006,215.139999,213.153839,834300
2018-06-08,215.380005,216.759995,214.320007,216.550003,214.550827,769700
2018-06-11,216.610001,217.339996,215.440002,216.639999,214.639999,767700
2018-06-12,214.5,216.649994,213.770004,215.919998,215.919998,813300
2018-06-13,216.630005,217.490005,212.089996,212.320007,212.320007,701600
2018-06-14,212.509995,215.600006,212.509995,214.460007,214.460007,634700
2018-06-15,215.050003,216.75,213.75,214.020004,214.020004,1313900
2018-06-18,213.919998,215.619995,212.800003,214.679993,214.679993,627300
2018-06-19,213.479996,218.350006,213.419998,217.070007,217.070007,1145400
2018-06-20,217.139999,219.100006,216.490005,218.529999,218.529999,745400
2018-06-21,218.270004,222.029999,217.925003,221.839996,221.839996,1002048
